É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2022/01/23 09:41:15,,,,,,,,,,,
,,,,,,,,,,,
,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc,âHìc
2022/1/15 9:00,7.2,8,1,7,8,ñkñkêº,8,1,,0,1
2022/1/15 10:00,8.4,8,1,5.7,8,êºñkêº,8,1,,0,1
2022/1/15 11:00,9.6,8,1,5.9,8,ñkêº,8,1,,0,1
2022/1/15 12:00,9.6,8,1,3.7,8,ñkñkêº,8,1,,0,1
2022/1/15 13:00,10,8,1,4.3,8,ñk,8,1,,0,1
2022/1/15 14:00,9.7,8,1,5.6,8,ñk,8,1,,0,1
2022/1/15 15:00,10,8,1,3.3,8,ñkñkêº,8,1,,0,1
2022/1/15 16:00,8.6,8,1,2.8,8,ñkñkêº,8,1,,0,1
2022/1/15 17:00,7.9,8,1,3.6,8,ñkêº,8,1,,0,1
2022/1/15 18:00,8.6,8,1,5.4,8,ñkñkìå,8,1,,0,1
2022/1/15 19:00,8.5,8,1,6,8,ñk,8,1,,0,1
2022/1/15 20:00,7.2,8,1,4.8,8,ñk,8,1,,0,1
2022/1/15 21:00,7.2,8,1,5.8,8,ñkñkêº,8,1,,0,1
2022/1/15 22:00,6.7,8,1,6,8,ñkñkêº,8,1,,0,1
2022/1/15 23:00,5.4,8,1,5,8,ñkñkêº,8,1,,0,1
2022/1/16 0:00,5.9,8,1,5.8,8,ñkñkêº,8,1,,0,1
2022/1/16 1:00,5.8,8,1,5.6,8,ñk,8,1,,0,1
2022/1/16 2:00,5.7,8,1,4.8,8,ñkñkêº,8,1,,0,1
2022/1/16 3:00,5.7,8,1,4.2,8,ñk,8,1,,0,1
2022/1/16 4:00,5.1,8,1,4.4,8,ñkñkìå,8,1,,0,1
2022/1/16 5:00,4.6,8,1,3.5,8,ñkñkìå,8,1,,0,1
2022/1/16 6:00,4.2,8,1,4.6,8,ñkñkìå,8,1,,0,1
2022/1/16 7:00,3.8,8,1,3.3,8,ñk,8,1,,0,1
2022/1/16 8:00,4.1,8,1,1.9,8,ñkñkêº,8,1,,0,1
2022/1/16 9:00,5.1,8,1,1.5,8,ñkñkêº,8,1,,0,1
2022/1/16 10:00,6.2,8,1,1.7,8,ñkìå,8,1,,0,1
2022/1/16 11:00,6.8,8,1,2.6,8,ìåìÏìå,8,1,,0,1
2022/1/16 12:00,7.4,8,1,1.6,8,ìåñkìå,8,1,,0,1
2022/1/16 13:00,8.1,8,1,2.3,8,ìåñkìå,8,1,,0,1
2022/1/16 14:00,11.2,8,1,3.9,8,ìÏìÏìå,8,1,,0,1
2022/1/16 15:00,10.6,8,1,5,8,ìÏìÏìå,8,1,,0,1
2022/1/16 16:00,10.6,8,1,6.6,8,ìÏêº,8,1,,0,1
2022/1/16 17:00,9,8,1,2.3,8,êº,8,1,,0,1
2022/1/16 18:00,9.4,8,1,0.8,8,ìåñkìå,8,1,,0,1
2022/1/16 19:00,9.4,8,1,3.3,8,ñkñkìå,8,1,,0,1
2022/1/16 20:00,8.8,8,1,4.3,8,ñk,8,1,,0,1
2022/1/16 21:00,7.9,8,1,3.4,8,ñk,8,1,,0,1
2022/1/16 22:00,6.1,8,1,2.4,8,ñkêº,8,1,,0,1
2022/1/16 23:00,5.8,8,1,3.2,8,êºñkêº,8,1,,0,1
2022/1/17 0:00,5.3,8,1,1.9,8,êº,8,1,,0,1
2022/1/17 1:00,4.4,8,1,2.3,8,êº,8,1,,0,1
2022/1/17 2:00,4.6,8,1,1.4,8,êº,8,1,,0,1
2022/1/17 3:00,4.1,8,1,1.6,8,êºìÏêº,8,1,,0,1
2022/1/17 4:00,3.1,8,1,2.3,8,êº,8,1,,0,1
2022/1/17 5:00,3.3,8,1,1.9,8,êºñkêº,8,1,,0,1
2022/1/17 6:00,3.1,8,1,1.4,8,êºìÏêº,8,1,,0,1
2022/1/17 7:00,3.7,8,1,0.7,8,ñkêº,8,1,,0,1
2022/1/17 8:00,4.8,8,1,3.1,8,êº,8,1,,0,1
2022/1/17 9:00,7.3,8,1,2.4,8,êºñkêº,8,1,,0,1
2022/1/17 10:00,8.6,8,1,2.3,8,ñkêº,8,1,,0,1
2022/1/17 11:00,8.3,8,1,1.9,8,ìå,8,1,,0,1
2022/1/17 12:00,8.7,8,1,2.1,8,ìå,8,1,,0,1
2022/1/17 13:00,8.8,8,1,2.8,8,ìåìÏìå,8,1,,0,1
2022/1/17 14:00,9.1,8,1,2.5,8,ìå,8,1,,0,1
2022/1/17 15:00,9.7,8,1,4,8,ñkìå,8,1,,0,1
2022/1/17 16:00,10,8,1,2.8,8,ñkñkìå,8,1,,0,1
2022/1/17 17:00,10.1,8,1,3,8,ñkñkìå,8,1,,0,1
2022/1/17 18:00,9.9,8,1,4.4,8,ìå,8,1,,0,1
2022/1/17 19:00,8.8,8,1,5.8,8,ñk,8,1,,0,1
2022/1/17 20:00,8.4,8,1,5.9,8,ñk,8,1,,0,1
2022/1/17 21:00,8.2,8,1,4.5,8,ñk,8,1,,0,1
2022/1/17 22:00,7.7,8,1,3.9,8,ñkñkìå,8,1,,0,1
2022/1/17 23:00,5.2,8,1,2.9,8,êºñkêº,8,1,,0,1
2022/1/18 0:00,5.1,8,1,4,8,êºñkêº,8,1,,0,1
2022/1/18 1:00,4.8,8,1,3.2,8,ñkêº,8,1,,0,1
2022/1/18 2:00,6.6,8,1,2.5,8,ñkñkìå,8,1,,0,1
2022/1/18 3:00,5,8,1,9,8,ñkñkêº,8,1,,0,1
2022/1/18 4:00,4.6,8,1,10.1,8,ñkñkêº,8,1,,0,1
2022/1/18 5:00,4.3,8,1,10.9,8,ñkñkêº,8,1,,0,1
2022/1/18 6:00,4,8,1,7.7,8,ñkñkêº,8,1,,0,1
2022/1/18 7:00,3.1,8,1,6.6,8,ñkñkêº,8,1,,0,1
2022/1/18 8:00,4.8,8,1,7.5,8,ñkñkêº,8,1,,0,1
2022/1/18 9:00,5.4,8,1,7,8,ñkñkêº,8,1,,0,1
2022/1/18 10:00,6.3,8,1,5.8,8,ñk,8,1,,0,1
2022/1/18 11:00,6.9,8,1,3.3,8,ñkñkìå,8,1,,0,1
2022/1/18 12:00,6.9,8,1,3,8,ñkñkêº,8,1,,0,1
2022/1/18 13:00,7.2,8,1,2.4,8,ñk,8,1,,0,1
2022/1/18 14:00,7.2,8,1,5.2,8,ñk,8,1,,0,1
2022/1/18 15:00,7.2,8,1,7.9,8,ñk,8,1,,0,1
2022/1/18 16:00,6.7,8,1,7.6,8,ñkñkêº,8,1,,0,1
2022/1/18 17:00,5.7,8,1,8.9,8,ñkñkêº,8,1,,0,1
2022/1/18 18:00,5.2,8,1,9.1,8,ñkñkêº,8,1,,0,1
2022/1/18 19:00,4.6,8,1,9.8,8,ñkñkêº,8,1,,0,1
2022/1/18 20:00,4.3,8,1,8.9,8,ñkñkêº,8,1,,0,1
2022/1/18 21:00,4.6,8,1,11.5,8,ñkñkêº,8,1,,0,1
2022/1/18 22:00,3.7,8,1,7.7,8,ñkñkêº,8,1,,0,1
2022/1/18 23:00,3.3,8,1,6.7,8,ñkêº,8,1,,0,1
2022/1/19 0:00,2.3,8,1,5.6,8,ñkêº,8,1,,0,1
2022/1/19 1:00,2.5,8,1,5.5,8,ñkêº,8,1,,0,1
2022/1/19 2:00,2.7,8,1,5.9,8,ñkêº,8,1,,0,1
2022/1/19 3:00,3.2,8,1,8.5,8,ñkêº,8,1,,0,1
2022/1/19 4:00,3.2,8,1,7.7,8,ñkêº,8,1,,0,1
2022/1/19 5:00,3.1,8,1,7.2,8,ñkêº,8,1,,0,1
2022/1/19 6:00,2.8,8,1,6.7,8,ñkêº,8,1,,0,1
2022/1/19 7:00,2.5,8,1,5.4,8,ñkêº,8,1,,0,1
2022/1/19 8:00,4.5,8,1,6.4,8,ñkêº,8,1,,0,1
2022/1/19 9:00,5.5,8,1,6.8,8,ñkñkêº,8,1,,0,1
2022/1/19 10:00,6,8,1,6.3,8,ñk,8,1,,0,1
2022/1/19 11:00,6.6,8,1,4.1,8,ñkñkìå,8,1,,0,1
2022/1/19 12:00,6.8,8,1,3.5,8,ñkìå,8,1,,0,1
2022/1/19 13:00,6.7,8,1,2.4,8,ìåìÏìå,8,1,,0,1
2022/1/19 14:00,6.7,8,1,2.6,8,ìåìÏìå,8,1,,0,1
2022/1/19 15:00,6.7,8,1,2.9,8,ìÏìå,8,1,,0,1
2022/1/19 16:00,6.8,8,1,3.4,8,ìÏìÏìå,8,1,,0,1
2022/1/19 17:00,5.9,8,1,3.2,8,ìÏìÏìå,8,1,,0,1
2022/1/19 18:00,6.2,8,1,2.5,8,ìÏ,8,1,,0,1
2022/1/19 19:00,6.3,8,1,2.1,8,ìÏìÏìå,8,1,,0,1
2022/1/19 20:00,5.9,8,1,1.2,8,êºìÏêº,8,1,,0,1
2022/1/19 21:00,5.8,8,1,1.3,8,ñkêº,8,1,,0,1
2022/1/19 22:00,5.6,8,1,0.8,8,ìÏ,8,1,,0,1
2022/1/19 23:00,4.2,8,1,2.6,8,êºñkêº,8,1,,0,1
2022/1/20 0:00,3.6,8,1,3.1,8,ñkêº,8,1,,0,1
2022/1/20 1:00,2.3,8,1,2.2,8,êº,8,1,,0,1
2022/1/20 2:00,1.5,8,1,3,8,êºñkêº,8,1,,0,1
2022/1/20 3:00,2.4,8,1,2.2,8,êºñkêº,8,1,,0,1
2022/1/20 4:00,2.1,8,1,2.1,8,êºñkêº,8,1,,0,1
2022/1/20 5:00,0.6,8,1,3.3,8,êº,8,1,,0,1
2022/1/20 6:00,0.3,8,1,3.4,8,ñkñkêº,8,1,,0,1
2022/1/20 7:00,1.9,8,1,2.4,8,ñkñkìå,8,1,,0,1
2022/1/20 8:00,2.6,8,1,2.4,8,ñk,8,1,,0,1
2022/1/20 9:00,3.2,8,1,2.4,8,ñkñkìå,8,1,,0,1
2022/1/20 10:00,4.4,8,1,2,8,ñk,8,1,,0,1
2022/1/20 11:00,5.7,8,1,2,8,ñkñkìå,8,1,,0,1
2022/1/20 12:00,6.7,8,1,3.6,8,ñkñkìå,8,1,,0,1
2022/1/20 13:00,7.6,8,1,5.2,8,ñkñkêº,8,1,,0,1
2022/1/20 14:00,7.9,8,1,8.2,8,ñk,8,1,,0,1
2022/1/20 15:00,8,8,1,8.2,8,ñkñkêº,8,1,,0,1
2022/1/20 16:00,7.7,8,1,10.3,8,ñkñkêº,8,1,,0,1
2022/1/20 17:00,6.7,8,1,8.8,8,ñkñkêº,8,1,,0,1
2022/1/20 18:00,6,8,1,8.3,8,ñkñkêº,8,1,,0,1
2022/1/20 19:00,5.3,8,1,9.2,8,ñkêº,8,1,,0,1
2022/1/20 20:00,4.6,8,1,9.7,8,ñkñkêº,8,1,,0,1
2022/1/20 21:00,3.8,8,1,8.9,8,ñkñkêº,8,1,,0,1
2022/1/20 22:00,4,8,1,10,8,ñkêº,8,1,,0,1
2022/1/20 23:00,3.6,8,1,7.9,8,ñkêº,8,1,,0,1
2022/1/21 0:00,3,8,1,9.7,8,ñkêº,8,1,,0,1
2022/1/21 1:00,3,8,1,9,8,ñkêº,8,1,,0,1
2022/1/21 2:00,2.8,8,1,7.6,8,ñkêº,8,1,,0,1
2022/1/21 3:00,1.9,8,1,5.9,8,ñkêº,8,1,,0,1
2022/1/21 4:00,1.4,8,1,4.9,8,ñkêº,8,1,,0,1
2022/1/21 5:00,1.4,8,1,5,8,ñkêº,8,1,,0,1
2022/1/21 6:00,1,8,1,3.5,8,ñkêº,8,1,,0,1
2022/1/21 7:00,0.8,8,1,3.9,8,ñkêº,8,1,,0,1
2022/1/21 8:00,3.3,8,1,6.3,8,ñkêº,8,1,,0,1
2022/1/21 9:00,4.6,8,1,6.7,8,ñkêº,8,1,,0,1
2022/1/21 10:00,5.5,8,1,7.8,8,ñkêº,8,1,,0,1
2022/1/21 11:00,6.4,8,1,7.8,8,ñkñkêº,8,1,,0,1
2022/1/21 12:00,6.7,8,1,9,8,ñkñkêº,8,1,,0,1
2022/1/21 13:00,6.8,8,1,11.4,8,ñk,8,1,,0,1
2022/1/21 14:00,6.8,8,1,9.9,8,ñk,8,1,,0,1
2022/1/21 15:00,6.8,8,1,10.3,8,ñk,8,1,,0,1
2022/1/21 16:00,6.1,8,1,10,8,ñkñkêº,8,1,,0,1
2022/1/21 17:00,4.7,8,1,8.6,8,ñkñkêº,8,1,,0,1
2022/1/21 18:00,4.2,8,1,9.8,8,ñkñkêº,8,1,,0,1
2022/1/21 19:00,3.3,8,1,8.9,8,ñkñkêº,8,1,,0,1
2022/1/21 20:00,2.9,8,1,7.7,8,ñkñkêº,8,1,,0,1
2022/1/21 21:00,1.9,8,1,5.3,8,ñkñkêº,8,1,,0,1
2022/1/21 22:00,2.7,8,1,6.6,8,ñkñkêº,8,1,,0,1
2022/1/21 23:00,2.7,8,1,7,8,ñkñkêº,8,1,,0,1
2022/1/22 0:00,2.5,8,1,5.6,8,ñkêº,8,1,,0,1
2022/1/22 1:00,3.2,8,1,6.1,8,ñkñkêº,8,1,,0,1
2022/1/22 2:00,4,8,1,7.4,8,ñkñkêº,8,1,,0,1
2022/1/22 3:00,3.1,8,1,6.1,8,ñkêº,8,1,,0,1
2022/1/22 4:00,2.9,8,1,7,8,ñkêº,8,1,,0,1
2022/1/22 5:00,3.1,8,1,6.6,8,ñkêº,8,1,,0,1
2022/1/22 6:00,2.9,8,1,7,8,ñkñkêº,8,1,,0,1
2022/1/22 7:00,2.9,8,1,6.6,8,ñkêº,8,1,,0,1
2022/1/22 8:00,3.7,8,1,5.4,8,ñkêº,8,1,,0,1
2022/1/22 9:00,5,8,1,4.6,8,ñkêº,8,1,,0,1
2022/1/22 10:00,5.9,8,1,2.4,8,ìåñkìå,8,1,,0,1
2022/1/22 11:00,5.7,8,1,2.5,8,ìåñkìå,8,1,,0,1
2022/1/22 12:00,7.3,8,1,1.7,8,ìåñkìå,8,1,,0,1
2022/1/22 13:00,7.4,8,1,2.8,8,ìå,8,1,,0,1
2022/1/22 14:00,7.9,8,1,3.4,8,ìÏìå,8,1,,0,1
2022/1/22 15:00,8,8,1,3.3,8,ìÏìå,8,1,,0,1
2022/1/22 16:00,7.6,8,1,2.6,8,ìÏìå,8,1,,0,1
2022/1/22 17:00,5.5,8,1,2.2,8,ìÏìå,8,1,,0,1
2022/1/22 18:00,7.2,8,1,1.5,8,ìåìÏìå,8,1,,0,1
2022/1/22 19:00,7.3,8,1,1,8,ìÏìå,8,1,,0,1
2022/1/22 20:00,7.8,8,1,0.5,8,ìåìÏìå,8,1,,0,1
2022/1/22 21:00,7.5,8,1,4.2,8,ìåñkìå,8,1,,0,1
2022/1/22 22:00,6.9,8,1,3.5,8,ñkìå,8,1,,0,1
2022/1/22 23:00,6.8,8,1,3.5,8,ñk,8,1,,0,1
2022/1/23 0:00,5.9,8,1,3.1,8,ñkñkêº,8,1,,0,1
